benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,3019,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,3019
create-email-address-with-name-and-domain.sl,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",2,9587,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",2,9587
dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",202,3619441,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",199,3619441
exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",6,16252,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",5,16252
exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",10,42021,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",11,42021
exceljet3.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""="") + (1 + 1)),_arg_0.Length())",13,31133,Success,"_arg_0.Substr((_arg_0.IndexOf(""="") + (1 + 1)),_arg_0.Length())",12,31133
exceljet4.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""/"") - (-1 + -1)),_arg_0.Length())",12,24586,Success,"_arg_0.Substr((_arg_0.IndexOf(""/"") - (-1 + -1)),_arg_0.Length())",17,24586
extract-word-containing-specific-text.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",74,2484345,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",73,2484345
extract-word-that-begins-with-specific-character.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",140,3764589,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",137,3764589
firstname.sl,Success,"name.Substr(0,name.IndexOf("" ""))",1,938,Success,"name.Substr(0,name.IndexOf("" ""))",1,938
get-domain-from-email-address_2.sl,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1577,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1577
get-domain-name-from-url.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""/"",(3 * 3)) + (_arg_0.Length() % 2)))",392,13133580,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""/"",(3 * 3)) + (_arg_0.Length() % 2)))",389,13133580
get-first-name-from-name.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,911,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,911
get-first-word.sl,Success,"_arg_0.Substr(0,(((-1 + -1) * (_arg_0.Length() % ((-1 + -1) + -1))) % (1 - _arg_0.Length())))",106,1451714,Success,"_arg_0.Substr(0,(((-1 + -1) * (_arg_0.Length() % ((-1 + -1) + -1))) % (1 - _arg_0.Length())))",99,1451714
get-last-line-in-cell.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(""/n"".Length() * (_arg_0.IndexOf("" "") * (-1 + -1)))),_arg_0.Length())",6007,128541307,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(""/n"".Length() * (_arg_0.IndexOf("" "") * (-1 + -1)))),_arg_0.Length())",5871,128541307
get-last-name-from-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",3,4721,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",3,4721
get-last-name-from-name-with-comma.sl,Success,"concat(concat(_arg_0.Substr((_arg_0.IndexOf("","") + 1),_arg_0.Length()), "",""), _arg_0).Substr(0,_arg_0.Length())",389,7382042,Success,"concat(concat(_arg_0.Substr((_arg_0.IndexOf("","") + 1),_arg_0.Length()), "",""), _arg_0).Substr(0,_arg_0.Length())",373,7382042
get-last-word.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",9,17360,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",10,17360
get-middle-name-from-full-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((-1 + -1) * (1 - (-1 + -1))))",30,179367,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((-1 + -1) * (1 - (-1 + -1))))",32,179367
initials.sl,Success,"concat(concat(concat(name.CharAt(0), "".""), name.CharAt((name.IndexOf("" "") + 1))), ""."")",35,139787,Success,"concat(concat(concat(name.CharAt(0), "".""), name.CharAt((name.IndexOf("" "") + 1))), ""."")",35,139787
join-cells-with-comma.sl,Success,"concat(concat(concat(concat(_arg_0, "",""), "" ""), _arg_1), concat("","", concat("" "", _arg_2)).replace(concat(_arg_1, concat("","", concat("" "", _arg_2))), _arg_2))",31,71704,Success,"concat(concat(concat(concat(_arg_0, "",""), "" ""), _arg_1), concat("","", concat("" "", _arg_2)).replace(concat(_arg_1, concat("","", concat("" "", _arg_2))), _arg_2))",30,71704
join-first-and-last-name.sl,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,775,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,775
lastname.sl,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",4,3160,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",3,3160
most-frequently-occurring-text.sl,Success,"_arg_1.replace(_arg_1.replace(_arg_0.CharAt(1), "" ""), _arg_2)",2,13868,Success,"_arg_1.replace(_arg_1.replace(_arg_0.CharAt(1), "" ""), _arg_2)",2,13868
name-combine-2.sl,Success,"concat(firstname, concat(concat("" "", lastname.CharAt(0)), "".""))",4,6263,Success,"concat(firstname, concat(concat("" "", lastname.CharAt(0)), "".""))",4,6263
name-combine-3.sl,Success,"concat(concat(firstname.CharAt(0), "".""), concat("" "", lastname))",3,5819,Success,"concat(concat(firstname.CharAt(0), "".""), concat("" "", lastname))",2,5819
name-combine-4.sl,Success,"concat(concat(concat(concat(lastname, "",""), "" ""), firstname.CharAt(0)), ""."")",7,12352,Success,"concat(concat(concat(concat(lastname, "",""), "" ""), firstname.CharAt(0)), ""."")",6,12352
name-combine.sl,Success,"concat(firstname, concat("" "", lastname))",1,650,Success,"concat(firstname, concat("" "", lastname))",1,650
phone-10.sl,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",283,5578191,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",275,5578191
phone-1.sl,Success,"name.Substr(4,(0 - 4))",1,2757,Success,"name.Substr(4,(0 - 4))",1,2757
phone-2.sl,Success,"name.Substr((0 - 3),name.Length())",11,30441,Success,"name.Substr((0 - 3),name.Length())",9,30441
phone-3.sl,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",4,13416,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",3,13416
phone-4.sl,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",6,25434,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",6,25434
phone-5.sl,Success,"name.Substr(1,name.IndexOf("" ""))",1,3122,Success,"name.Substr(1,name.IndexOf("" ""))",1,3122
phone-6.sl,Success,"name.Substr((name.IndexOf(""-"") - 3),name.IndexOf(""-""))",17,67709,Success,"name.Substr((name.IndexOf(""-"") - 3),name.IndexOf(""-""))",16,67709
phone-7.sl,Success,"name.Substr((name.IndexOf(""-"") + 1),(0 - 4))",17,87190,Success,"name.Substr((name.IndexOf(""-"") + 1),(0 - 4))",18,87190
phone-8.sl,Success,"name.Substr((0 - 3),name.Length())",9,52425,Success,"name.Substr((0 - 3),name.Length())",8,52425
phone-9.sl,Success,"name.Substr(1,name.Length()).replace("" "", ""."").replace(""-"", ""."").replace(""-"", ""."")",236,4720671,Success,"name.Substr(1,name.Length()).replace("" "", ""."").replace(""-"", ""."").replace(""-"", ""."")",231,4720671
phone.sl,Success,"name.Substr(0,3)",0,364,Success,"name.Substr(0,3)",0,364
remove-file-extension-from-filename.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,1136,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,1136
remove-leading-and-trailing-spaces-from-text.sl,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",27,67971,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",26,67971
remove-text-by-matching.sl,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",4,7657,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",4,7657
remove-text-by-position.sl,Success,"_arg_0.Substr(((-1 + -1) * (1 - _arg_0.IndexOf(""/"",(1 - (-1 + -1))))),_arg_0.Length())",61,1027147,Success,"_arg_0.Substr(((-1 + -1) * (1 - _arg_0.IndexOf(""/"",(1 - (-1 + -1))))),_arg_0.Length())",58,1027147
remove-unwanted-characters.sl,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.lower(), """")",29,76550,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.lower(), """")",27,76550
replace-one-character-with-another.sl,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,2942,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,2942
reverse-name.sl,Success,"concat(lastname, concat("" "", firstname))",1,653,Success,"concat(lastname, concat("" "", firstname))",1,653
stackoverflow10.sl,Success,"(if_arg_0.Contain(_arg_0.Substr((_arg_0.IndexOf("" "") + 3),_arg_0.Length()).replace("" "", """").Substr(0,4)) then _arg_0.Substr((_arg_0.IndexOf("" "") + 3),_arg_0.Length()).replace("" "", """").Substr(0,4) else _arg_0).Substr((1 - 5),_arg_0.Length())",16988,378157483,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(_arg_0.IndexOf("" "") + 3)),_arg_0.Length()).Substr(0,4)",24720,286784354
stackoverflow11.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") + ""2"".StrToInt()),_arg_0.Length())",63,1623841,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") + ""2"".StrToInt()),_arg_0.Length())",61,1623841
stackoverflow1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",4,6538,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",4,6538
stackoverflow2.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(-1 - _arg_0.IndexOf("" ""))))",11,18404,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(-1 - _arg_0.IndexOf("" ""))))",11,18404
stackoverflow3.sl,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",16,120858,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",15,120858
stackoverflow4.sl,Success,"concat(concat(_arg_0.CharAt(0), ""/""), _arg_0.replace(""/"", """").replace("","", "" "").replace("","", "" "").replace(""<"", "" "").Substr(1,-1))",360,7709408,Success,"concat(concat(_arg_0.CharAt(0), ""/""), _arg_0.replace(""/"", """").replace("","", "" "").replace("","", "" "").replace(""<"", "" "").Substr(1,-1))",345,7709408
stackoverflow5.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",4,10278,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",6,10278
stackoverflow6.sl,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",29,298422,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",28,298422
stackoverflow7.sl,Success,"_arg_0.replace(concat((if_arg_1.SuffixOf(_arg_0) then "" "" else """"), _arg_1), """")",252,4689019,Success,"_arg_0.replace(concat((if_arg_1.SuffixOf(_arg_0) then "" "" else """"), _arg_1), """")",248,4689019
stackoverflow8.sl,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",9,48792,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",7,48792
stackoverflow9.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",21,98069,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",21,98069
strip-html-from-text-or-numbers.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",4,6746,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",4,6746
strip-non-numeric-characters.sl,Success,"concat(5.IntToStr().Substr(concat(_arg_0.Substr((-1 - 9),1), _arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),(((5 * 8) % _arg_0.Length()) + 3)).replace("" "", """")).StrToInt(),1), concat(_arg_0.Substr((-1 - 9),1), _arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),(((5 * 8) % _arg_0.Length()) + 3)).replace("" "", """")))",20943,2289532783,Fail,None,3600,100000000
strip-numeric-characters-from-cell.sl,Success,"concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).replace(concat("" "", _arg_0), concat(concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).Substr(0,9), "" ""))",8984,543189906,Fail,None,3600,100000000
univ_1.sl,Success,"concat(concat(concat(col1, "",""), "" ""), col2)",2,4242,Success,"concat(concat(concat(col1, "",""), "" ""), col2)",2,4242
univ_2.sl,Success,"concat(col1, concat(concat("","", concat("" "", col2)), (ifcol2.Contain(""USA"") then col1.Substr(1,0) else concat("","", concat("" "", ""USA"")))))",1293,16148142,Success,"concat(col1, concat(concat("","", concat("" "", col2)), (ifcol2.Contain(""USA"") then col1.Substr(1,0) else concat("","", concat("" "", ""USA"")))))",1229,16148142
univ_3.sl,Success,"(ifcol2.Contain(""USA"") then col2 else concat(concat(concat(col2, "",""), "" ""), ""USA""))",230,3323127,Success,"(ifcol2.Contain(""USA"") then col2 else concat(concat(concat(col2, "",""), "" ""), ""USA""))",222,3323127
univ_4.sl,Success,"(ifEqual(col2,col2.replace(concat("" "", (ifcol2.Contain(""USA"") then ""New York"" else ""USA"")), ""NY"")) then concat(col2.replace(concat("" "", (ifcol2.Contain(""USA"") then ""New York"" else ""USA"")), ""NY"").replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")).replace(col2.replace(""USA"", "" ""), concat(col2, "","")) else concat(col2.replace(concat("" "", (ifcol2.Contain(""USA"") then ""New York"" else ""USA"")), ""NY"").replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")).replace(""CA"", concat(""CA"", "","")).replace(""NY"", concat("" "", ""NY"")))",30221,1495371945,Fail,None,3600,100000000
univ_5.sl,Fail,None,3600,100000000,Fail,None,3600,100000000
