benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
39060015.sl,Success,"concat(concat(_arg_0.Substr(0,_arg_0.IndexOf(""/"")), _arg_0.Substr((-1 - _arg_0.Substr(1,_arg_0.IndexOf(""/"")).Substr(1,-1).Length()),-1)), concat(_arg_0.Substr(0,_arg_0.IndexOf(""/"")), _arg_0.Substr((-1 - _arg_0.Substr(1,_arg_0.IndexOf(""/"")).Substr(1,-1).Length()),-1)).Substr(0,1).lower())",10278,444971604,Success,"(if""/"".SuffixOf(_arg_0) then """" else _arg_0.replace(_arg_0.Substr(_arg_0.IndexOf(""/""),(1 % (1 - _arg_0.IndexOf(""/"")))), """"))",12860,288435663
41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",12,20083,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",13,20083
43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",2627,81714015,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",2635,81714015
43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2,4202,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2,4202
add-a-line-break-with-a-formula.sl,Success,"concat(_arg_0, concat(""/n"", concat(_arg_1, concat(""/n"", _arg_2))))",3,5656,Success,"concat(_arg_0, concat(""/n"", concat(_arg_1, concat(""/n"", _arg_2))))",3,5656
bikes.sl,Success,"name.Substr(0,(0 - 3))",2,3423,Success,"name.Substr(0,(0 - 3))",2,3423
change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",1,354,Success,"_arg_0.replace(""-"", """")",0,354
clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("" "", """").replace("">"", """").replace(""-"", """")",6570,375353223,Fail,None,3600,100000000
create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,2767,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,2767
create-email-address-with-name-and-domain.sl,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",3,7969,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",3,7969
dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",85,1124343,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",86,1124343
exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",3,15746,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",3,15746
exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",6,40100,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",5,40100
exceljet3.sl,Success,"_arg_0.Substr(((1 + 1) + _arg_0.IndexOf(""="")),_arg_0.Length())",11,34381,Success,"_arg_0.Substr(((1 + 1) + _arg_0.IndexOf(""="")),_arg_0.Length())",11,34381
exceljet4.sl,Success,"_arg_0.Substr(((_arg_0.IndexOf(""/"") + 1) + 1),_arg_0.Length())",9,25610,Success,"_arg_0.Substr(((_arg_0.IndexOf(""/"") + 1) + 1),_arg_0.Length())",10,25610
extract-word-containing-specific-text.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",221,9829497,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",227,9829497
extract-word-that-begins-with-specific-character.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",173,3880941,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",173,3880941
firstname.sl,Success,"name.Substr(0,name.IndexOf("" ""))",1,784,Success,"name.Substr(0,name.IndexOf("" ""))",1,784
get-domain-from-email-address_2.sl,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1443,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1443
get-domain-name-from-url.sl,Success,"_arg_0.Substr(0,((_arg_0.Length() % 2) + _arg_0.IndexOf(""/"",(3 * 3))))",92,1660196,Success,"_arg_0.Substr(0,((_arg_0.Length() % 2) + _arg_0.IndexOf(""/"",(3 * 3))))",89,1660196
get-first-name-from-name.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,790,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,790
get-first-word.sl,Success,"_arg_0.Substr(0,(((_arg_0.Length() % ((-1 + -1) + -1)) * (-1 + -1)) % (1 - _arg_0.Length())))",94,1254687,Success,"_arg_0.Substr(0,(((_arg_0.Length() % ((-1 + -1) + -1)) * (-1 + -1)) % (1 - _arg_0.Length())))",97,1254687
get-last-line-in-cell.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(""/n"".Length() * ((-1 + -1) * _arg_0.IndexOf("" "")))),_arg_0.Length())",3077,58046938,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(""/n"".Length() * ((-1 + -1) * _arg_0.IndexOf("" "")))),_arg_0.Length())",2926,58046938
get-last-name-from-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",4,4920,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",3,4920
get-last-name-from-name-with-comma.sl,Success,"concat(_arg_0.replace("","", concat(concat(_arg_0, "",""), _arg_0)).replace("","", "" "").Substr(_arg_0.Length(),-1).replace("" "", """").Substr(0,_arg_0.Length()), _arg_0.replace("","", concat(concat(_arg_0, "",""), _arg_0)).replace("","", "" "").Substr(_arg_0.Length(),-1).replace("" "", """").Substr(0,_arg_0.Length()).replace(_arg_0.CharAt(0), _arg_0).CharAt(_arg_0.Length()).replace("","", """")).replace(_arg_0.replace("","", concat(concat(_arg_0, "",""), _arg_0)).replace("","", "" "").Substr(_arg_0.Length(),-1).replace("" "", """").Substr(0,_arg_0.Length()), _arg_0.replace("","", concat(concat(_arg_0, "",""), _arg_0)).replace("","", "" "").Substr(_arg_0.Length(),-1).replace("" "", """").Substr(0,_arg_0.Length()).replace(_arg_0.replace("","", concat(concat(_arg_0, "",""), _arg_0)).replace("","", "" "").Substr(_arg_0.Length(),-1).replace("" "", """").Substr(0,_arg_0.Length()).replace(_arg_0.CharAt(0), _arg_0).CharAt(_arg_0.Length()).replace("","", """"), """"))",31581,1294627578,Success,"concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(_arg_0.IndexOf("",""),-1).Substr(0,_arg_0.Length())",16229,397238211
get-last-word.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",6,17039,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",5,17039
get-middle-name-from-full-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((1 - (-1 + -1)) * (-1 + -1)))",30,90644,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((1 - (-1 + -1)) * (-1 + -1)))",31,90644
initials.sl,Success,"concat(concat(name.CharAt(0), "".""), concat(name.CharAt((name.IndexOf("" "") + 1)), "".""))",39,123004,Success,"concat(concat(name.CharAt(0), "".""), concat(name.CharAt((name.IndexOf("" "") + 1)), "".""))",39,123004
join-cells-with-comma.sl,Success,"concat(_arg_0, concat("","", concat("" "", concat(_arg_1, concat("","", concat("" "", _arg_2)).replace(concat(_arg_1, concat("","", concat("" "", _arg_2))), _arg_2)))))",24,29941,Success,"concat(_arg_0, concat("","", concat("" "", concat(_arg_1, concat("","", concat("" "", _arg_2)).replace(concat(_arg_1, concat("","", concat("" "", _arg_2))), _arg_2)))))",20,29941
join-first-and-last-name.sl,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,558,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,558
lastname.sl,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",2,3094,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",2,3094
most-frequently-occurring-text.sl,Success,"_arg_1.replace(_arg_1.replace(_arg_0.CharAt(1), "" ""), _arg_2)",2,5000,Success,"_arg_1.replace(_arg_1.replace(_arg_0.CharAt(1), "" ""), _arg_2)",2,5000
name-combine-2.sl,Success,"concat(firstname, concat("" "", concat(lastname.CharAt(0), ""."")))",4,4826,Success,"concat(firstname, concat("" "", concat(lastname.CharAt(0), ""."")))",4,4826
name-combine-3.sl,Success,"concat(concat(firstname.CharAt(0), "".""), concat("" "", lastname))",2,4212,Success,"concat(concat(firstname.CharAt(0), "".""), concat("" "", lastname))",2,4212
name-combine-4.sl,Success,"concat(lastname, concat("","", concat("" "", concat(firstname.CharAt(0), "".""))))",6,9003,Success,"concat(lastname, concat("","", concat("" "", concat(firstname.CharAt(0), "".""))))",5,9003
name-combine.sl,Success,"concat(firstname, concat("" "", lastname))",1,345,Success,"concat(firstname, concat("" "", lastname))",1,345
phone-10.sl,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",86,1678257,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",86,1678257
phone-1.sl,Success,"name.Substr(4,(2 + 5))",1,3366,Success,"name.Substr(4,(2 + 5))",1,3366
phone-2.sl,Success,"name.Substr((3 + 5),name.Length())",2,9504,Success,"name.Substr((3 + 5),name.Length())",2,9504
phone-3.sl,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",5,25008,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",5,25008
phone-4.sl,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",5,24707,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",5,24707
phone-5.sl,Success,"name.Substr(1,name.IndexOf("" ""))",2,3873,Success,"name.Substr(1,name.IndexOf("" ""))",1,3873
phone-6.sl,Success,"name.Substr((name.IndexOf("" "") + 1),name.IndexOf(""-""))",19,191053,Success,"name.Substr((name.IndexOf("" "") + 1),name.IndexOf(""-""))",19,191053
phone-7.sl,Success,"name.Substr((name.IndexOf("" "") + 5),(0 - 4))",25,277768,Success,"name.Substr((name.IndexOf("" "") + 5),(0 - 4))",23,277768
phone-8.sl,Success,"name.Substr((0 - 3),name.Length())",2,18951,Success,"name.Substr((0 - 3),name.Length())",2,18951
phone-9.sl,Success,"name.Substr(1,name.Length()).replace(""-"", ""."").replace(""-"", ""."").replace("" "", ""."")",259,5030643,Success,"name.Substr(1,name.Length()).replace(""-"", ""."").replace(""-"", ""."").replace("" "", ""."")",244,5030643
phone.sl,Success,"name.Substr(0,3)",0,368,Success,"name.Substr(0,3)",0,368
remove-file-extension-from-filename.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,950,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,950
remove-leading-and-trailing-spaces-from-text.sl,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",26,68365,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",23,68365
remove-text-by-matching.sl,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",6,10052,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",7,10052
remove-text-by-position.sl,Success,"_arg_0.Substr(((1 + 1) * (_arg_0.IndexOf(""/"",((1 + 1) + 1)) + -1)),_arg_0.Length())",42,542912,Success,"_arg_0.Substr(((1 + 1) * (_arg_0.IndexOf(""/"",((1 + 1) + 1)) + -1)),_arg_0.Length())",40,542912
remove-unwanted-characters.sl,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.lower(), """")",26,59196,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.lower(), """")",24,59196
replace-one-character-with-another.sl,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,3604,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,3604
reverse-name.sl,Success,"concat(lastname, concat("" "", firstname))",0,343,Success,"concat(lastname, concat("" "", firstname))",0,343
stackoverflow10.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(_arg_0.IndexOf("" "") + 3)),(3 * 5))),_arg_0.Length()).Substr(0,4)",16026,350690554,Fail,None,3600,100000000
stackoverflow11.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") + ""2"".StrToInt()),_arg_0.Length())",34,707948,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") + ""2"".StrToInt()),_arg_0.Length())",34,707948
stackoverflow1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",3,5406,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",3,5406
stackoverflow2.sl,Success,"_arg_0.Substr(0,((-1 - ""in"".Length()) * ""in"".Length()))",5,7557,Success,"_arg_0.Substr(0,((-1 - ""in"".Length()) * ""in"".Length()))",5,7557
stackoverflow3.sl,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",11,117194,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",12,117194
stackoverflow4.sl,Success,"_arg_0.replace("">"", """").replace("","", "" "").replace("","", "" "").replace(""<"", "" "")",188,2413123,Success,"_arg_0.replace("">"", """").replace("","", "" "").replace("","", "" "").replace(""<"", "" "")",188,2413123
stackoverflow5.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",3,8265,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",3,8265
stackoverflow6.sl,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",27,290339,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",26,290339
stackoverflow7.sl,Success,"_arg_0.replace(_arg_1.upper(), """").replace(concat(1.IntToStr(), "" ""), 1.IntToStr())",204,3458190,Success,"_arg_0.replace(_arg_1.upper(), """").replace(concat(1.IntToStr(), "" ""), 1.IntToStr())",199,3458190
stackoverflow8.sl,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",6,48738,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",6,48738
stackoverflow9.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",18,94054,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",19,94054
strip-html-from-text-or-numbers.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",4,8301,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",4,8301
strip-non-numeric-characters.sl,Success,"concat(_arg_0.Substr((1 - 7),_arg_0.IndexOf((_arg_0.Length() * (_arg_0.Length() - (5 % (_arg_0.Length() % 9)))).IntToStr())), (_arg_0.Length() * (_arg_0.Length() - (5 % (_arg_0.Length() % 9)))).IntToStr())",7763,705932425,Fail,None,3600,100000000
strip-numeric-characters-from-cell.sl,Success,"concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).replace(concat("" "", _arg_0), concat(concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).Substr(0,9), "" ""))",8285,462994089,Fail,None,3600,100000000
univ_1.sl,Success,"concat(concat(concat(col1, "",""), "" ""), col2)",1,1379,Success,"concat(concat(concat(col1, "",""), "" ""), col2)",1,1379
univ_2.sl,Success,"concat(col1, concat("","", concat("" "", concat(col2.replace(concat("","", concat("" "", ""USA"")), col1.Substr(1,0)), concat("","", concat("" "", ""USA""))))))",488,5375073,Success,"concat(col1, concat("","", concat("" "", concat(col2.replace(concat("","", concat("" "", ""USA"")), col1.Substr(1,0)), concat("","", concat("" "", ""USA""))))))",470,5375073
univ_3.sl,Success,"col2.replace(col2.replace(""USA"", col2), concat(col2, concat("","", concat("" "", ""USA""))))",108,1321708,Success,"col2.replace(col2.replace(""USA"", col2), concat(col2, concat("","", concat("" "", ""USA""))))",104,1321708
univ_4.sl,Success,"concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")).replace(""New York"", ""CT"").replace(""New York"", ""NY"").replace(""CT"", ""New York"").replace(concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")), (if""New York"".Prefixof(col2) then col2 else concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")).replace(""New York"", ""NY""))).replace(""CA"", concat(""CA"", "","")).replace(concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")), concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")).replace(""New York"", ""CT"").replace(""New York"", ""NY"").replace(""CT"", ""New York"").replace(concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")), (if""New York"".Prefixof(col2) then col2 else concat(col2.replace(concat("","", concat("" "", ""USA"")), "",""), concat("" "", ""USA"")).replace(""New York"", ""NY""))).replace(""MD"", concat(""MD"", "","")))",28684,1514463146,Fail,None,3600,100000000
univ_5.sl,Fail,None,3600,100000000,Fail,None,3600,100000000
