benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
38664547.sl,Success,"(ifEqual(""that"",_arg_0) then ""that"" else _arg_0.replace(""that"", """"))",13,30169,Success,"(ifEqual(""that"",_arg_0) then ""that"" else _arg_0.replace(""that"", """"))",15,30169
38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",183,3500375,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",180,3500375
39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr(0,_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Length()).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Substr(0,1), _arg_0.Substr(0,_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Length()).Substr(0,1)))",24056,1110791111,Fail,None,3600,100000000
41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",14,27746,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",14,27746
43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",937,26501896,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",896,26501896
43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3,5290,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3,5290
add-a-line-break-with-a-formula.sl,Success,"concat(concat(_arg_0, concat(concat(""/n"", _arg_1), ""/n"")), _arg_2)",2,7228,Success,"concat(concat(_arg_0, concat(concat(""/n"", _arg_1), ""/n"")), _arg_2)",4,7228
bikes.sl,Success,"name.Substr(0,(0 - 3))",1,4503,Success,"name.Substr(0,(0 - 3))",1,4503
change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",0,303,Success,"_arg_0.replace(""-"", """")",0,303
clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace("" "", """").replace(""-"", """").replace(""-"", """").replace("">"", """").replace(""<"", """")",6388,354743496,Fail,None,3600,100000000
create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,2775,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",2,2775
create-email-address-with-name-and-domain.sl,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",3,8704,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",3,8704
dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",34,194482,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",38,194482
exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",10,19011,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",7,19011
exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",8,45598,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",9,45598
exceljet3.sl,Success,"_arg_0.Substr(((1 + 1) + _arg_0.IndexOf(""="")),_arg_0.Length())",9,35322,Success,"_arg_0.Substr(((1 + 1) + _arg_0.IndexOf(""="")),_arg_0.Length())",10,35322
exceljet4.sl,Success,"_arg_0.Substr((1 - (-1 - _arg_0.IndexOf(""/""))),_arg_0.Length())",14,26615,Success,"_arg_0.Substr((1 - (-1 - _arg_0.IndexOf(""/""))),_arg_0.Length())",12,26615
extract-word-containing-specific-text.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",172,7036235,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",171,7036235
extract-word-that-begins-with-specific-character.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",623,19329934,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",606,19329934
firstname.sl,Success,"name.Substr(0,name.IndexOf("" ""))",2,931,Success,"name.Substr(0,name.IndexOf("" ""))",1,931
get-domain-from-email-address_2.sl,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",3,1587,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1587
get-domain-name-from-url.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""/"",(3 * 3)) + (_arg_0.Length() % 2)))",421,10856330,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""/"",(3 * 3)) + (_arg_0.Length() % 2)))",420,10856330
get-first-name-from-name.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,824,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",4,824
get-first-word.sl,Success,"_arg_0.Substr(0,_arg_0.replace("" "", _arg_0).IndexOf(_arg_0))",43,205010,Success,"_arg_0.Substr(0,_arg_0.replace("" "", _arg_0).IndexOf(_arg_0))",43,205010
get-last-line-in-cell.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(((-1 - ""/n"".Length()) + -1) * _arg_0.IndexOf("" ""))),_arg_0.Length())",1913,37926877,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(((-1 - ""/n"".Length()) + -1) * _arg_0.IndexOf("" ""))),_arg_0.Length())",1919,37926877
get-last-name-from-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",3,5054,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",3,5054
get-last-name-from-name-with-comma.sl,Success,"concat(concat(_arg_0.Substr((_arg_0.IndexOf("","") + 1),_arg_0.Length()), "",""), _arg_0).Substr(0,_arg_0.Length())",712,15501948,Success,"concat(concat(_arg_0.Substr((_arg_0.IndexOf("","") + 1),_arg_0.Length()), "",""), _arg_0).Substr(0,_arg_0.Length())",704,15501948
get-last-word.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",7,16632,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",6,16632
get-middle-name-from-full-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((1 - (-1 + -1)) * (-1 + -1)))",32,183356,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((1 - (-1 + -1)) * (-1 + -1)))",35,183356
initials.sl,Success,"concat(name.CharAt(0), concat(concat(""."", name.CharAt((name.IndexOf("" "") + 1))), "".""))",36,100863,Success,"concat(name.CharAt(0), concat(concat(""."", name.CharAt((name.IndexOf("" "") + 1))), "".""))",37,100863
join-cells-with-comma.sl,Success,"concat(concat(concat(concat(concat(concat(_arg_0, "",""), "" "").replace(concat(concat(concat(_arg_0, "",""), "" ""), _arg_1), _arg_0), _arg_1), "",""), "" ""), _arg_2)",34,121414,Success,"concat(concat(concat(concat(concat(concat(_arg_0, "",""), "" "").replace(concat(concat(concat(_arg_0, "",""), "" ""), _arg_1), _arg_0), _arg_1), "",""), "" ""), _arg_2)",36,121414
join-first-and-last-name.sl,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,676,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,676
lastname.sl,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",3,3481,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",2,3481
most-frequently-occurring-text.sl,Success,"(ifEqual(_arg_0,_arg_1) then _arg_0 else _arg_2)",1,2913,Success,"(ifEqual(_arg_0,_arg_1) then _arg_0 else _arg_2)",1,2913
name-combine-2.sl,Success,"concat(firstname, concat("" "", concat(lastname.CharAt(0), ""."")))",5,5191,Success,"concat(firstname, concat("" "", concat(lastname.CharAt(0), ""."")))",5,5191
name-combine-3.sl,Success,"concat(concat(firstname.CharAt(0), "".""), concat("" "", lastname))",3,3914,Success,"concat(concat(firstname.CharAt(0), "".""), concat("" "", lastname))",3,3914
name-combine-4.sl,Success,"concat(lastname, concat("","", concat("" "", concat(firstname.CharAt(0), "".""))))",7,11759,Success,"concat(lastname, concat("","", concat("" "", concat(firstname.CharAt(0), "".""))))",8,11759
name-combine.sl,Success,"concat(firstname, concat("" "", lastname))",2,451,Success,"concat(firstname, concat("" "", lastname))",1,451
phone-10.sl,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",98,1852719,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",96,1852719
phone-1.sl,Success,"name.Substr(4,(2 + 5))",3,3364,Success,"name.Substr(4,(2 + 5))",4,3364
phone-2.sl,Success,"name.Substr((3 + 5),name.Length())",1,11971,Success,"name.Substr((3 + 5),name.Length())",4,11971
phone-3.sl,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",3,16041,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",4,16041
phone-4.sl,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",5,18063,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",5,18063
phone-5.sl,Success,"name.Substr(1,name.IndexOf("" ""))",2,3975,Success,"name.Substr(1,name.IndexOf("" ""))",1,3975
phone-6.sl,Success,"name.Substr((name.IndexOf(""-"") - 3),name.IndexOf(""-""))",20,172044,Success,"name.Substr((name.IndexOf(""-"") - 3),name.IndexOf(""-""))",19,172044
phone-7.sl,Success,"name.Substr((name.IndexOf(""-"") + 1),(0 - 4))",17,161119,Success,"name.Substr((name.IndexOf(""-"") + 1),(0 - 4))",17,161119
phone-8.sl,Success,"name.Substr((0 - 3),name.Length())",1,18610,Success,"name.Substr((0 - 3),name.Length())",1,18610
phone-9.sl,Success,"name.Substr(1,name.Length()).replace(""-"", ""."").replace("" "", ""."").replace(""-"", ""."")",469,10610861,Success,"name.Substr(1,name.Length()).replace(""-"", ""."").replace("" "", ""."").replace(""-"", ""."")",442,10610861
phone.sl,Success,"name.Substr(0,3)",0,368,Success,"name.Substr(0,3)",1,368
remove-file-extension-from-filename.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,1191,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",2,1191
remove-leading-and-trailing-spaces-from-text.sl,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",31,122745,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",31,122745
remove-text-by-matching.sl,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",6,10968,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",6,10968
remove-text-by-position.sl,Success,"_arg_0.Substr(((-1 + -1) * (1 - _arg_0.IndexOf(""/"",(1 - (-1 + -1))))),_arg_0.Length())",58,792945,Success,"_arg_0.Substr(((-1 + -1) * (1 - _arg_0.IndexOf(""/"",(1 - (-1 + -1))))),_arg_0.Length())",59,792945
remove-unwanted-characters.sl,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.lower(), """")",31,89286,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.lower(), """")",31,89286
replace-one-character-with-another.sl,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,3616,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,3616
reverse-name.sl,Success,"concat(lastname, concat("" "", firstname))",0,376,Success,"concat(lastname, concat("" "", firstname))",0,376
stackoverflow10.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),(_arg_0.IndexOf("" "") + 3)),(3 * 5))),_arg_0.Length()).Substr(0,4)",16124,365236488,Fail,None,3600,100000000
stackoverflow11.sl,Success,"_arg_0.Substr((""2"".StrToInt() + _arg_0.IndexOf(""_"")),_arg_0.Length())",32,736070,Success,"_arg_0.Substr((""2"".StrToInt() + _arg_0.IndexOf(""_"")),_arg_0.Length())",32,736070
stackoverflow1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",3,6386,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",4,6386
stackoverflow2.sl,Success,"_arg_0.Substr(0,((-1 - ""in"".Length()) * ""in"".Length()))",7,10273,Success,"_arg_0.Substr(0,((-1 - ""in"".Length()) * ""in"".Length()))",8,10273
stackoverflow3.sl,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",10,124635,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",12,124635
stackoverflow4.sl,Success,"_arg_0.replace("">"", """").replace("","", "" "").replace("","", "" "").replace(""<"", "" "")",83,751952,Success,"_arg_0.replace("">"", """").replace("","", "" "").replace("","", "" "").replace(""<"", "" "")",90,751952
stackoverflow5.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",4,10230,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",4,10230
stackoverflow6.sl,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",17,307991,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",16,307991
stackoverflow7.sl,Success,"_arg_0.replace(_arg_1.upper(), """").replace(concat(1.IntToStr(), "" ""), 1.IntToStr())",369,6861536,Success,"_arg_0.replace(_arg_1.upper(), """").replace(concat(1.IntToStr(), "" ""), 1.IntToStr())",366,6861536
stackoverflow8.sl,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",6,52003,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",7,52003
stackoverflow9.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",18,104733,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",18,104733
strip-html-from-text-or-numbers.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",3,5674,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",3,5674
strip-non-numeric-characters.sl,Success,"concat(_arg_0.Substr((1 - 7),_arg_0.IndexOf((_arg_0.Length() * (_arg_0.Length() - (5 % (_arg_0.Length() % 9)))).IntToStr())), (_arg_0.Length() * (_arg_0.Length() - (5 % (_arg_0.Length() % 9)))).IntToStr())",7778,701572232,Fail,None,3600,100000000
strip-numeric-characters-from-cell.sl,Success,"concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).replace(concat("" "", _arg_0), concat(concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).Substr(0,9), "" ""))",9166,556692793,Fail,None,3600,100000000
univ_1.sl,Success,"concat(col1, concat("","", concat("" "", col2)))",2,2637,Success,"concat(col1, concat("","", concat("" "", col2)))",2,2637
univ_2.sl,Success,"concat(col1, concat("","", concat("" "", concat(col2, (ifcol2.Contain(""USA"") then col1.Substr(1,0) else concat("","", concat("" "", ""USA"")))))))",519,6263099,Success,"concat(col1, concat("","", concat("" "", concat(col2, (ifcol2.Contain(""USA"") then col1.Substr(1,0) else concat("","", concat("" "", ""USA"")))))))",498,6263099
univ_3.sl,Success,"(ifcol2.Contain(""USA"") then col2 else concat(col2, concat("","", concat("" "", ""USA""))))",207,2823518,Success,"(ifcol2.Contain(""USA"") then col2 else concat(col2, concat("","", concat("" "", ""USA""))))",206,2823518
univ_4.sl,Success,"(if""New York"".Prefixof(col2) then col2 else (ifcol2.Contain(""USA"") then col2 else concat(concat(col2, "",""), concat("" "", ""USA""))).replace(""New York"", ""NY"")).replace(""New York"", ""CT"").replace(""New York"", ""NY"").replace(""CT"", ""New York"")",17544,634106221,Fail,None,3600,100000000
univ_5.sl,Fail,None,3600,100000000,Fail,None,3600,100000000
