benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
38664547.sl,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",13,30446,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",12,30446
38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",357,7995645,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",347,7995645
39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Substr(0,1), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)))",24802,1109894633,Fail,None,3600,100000000
41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",19,46624,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",19,46624
43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",4027,120868334,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",3948,120868334
43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3,5340,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3,5340
add-a-line-break-with-a-formula.sl,Success,"concat(concat(concat(concat(_arg_0, ""/n""), _arg_1), ""/n""), _arg_2)",2,5233,Success,"concat(concat(concat(concat(_arg_0, ""/n""), _arg_1), ""/n""), _arg_2)",2,5233
bikes.sl,Success,"name.Substr(0,(0 - 3))",1,3170,Success,"name.Substr(0,(0 - 3))",1,3170
change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",0,293,Success,"_arg_0.replace(""-"", """")",0,293
clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("" "", """").replace("">"", """").replace(""-"", """")",6137,340974615,Fail,None,3600,100000000
create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,2799,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1,2799
create-email-address-with-name-and-domain.sl,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",4,10072,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",5,10072
dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",82,1020949,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",78,1020949
exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",5,16098,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",7,16098
exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",6,37013,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",6,37013
exceljet3.sl,Success,"_arg_0.Substr(((1 + 1) + _arg_0.IndexOf(""="")),_arg_0.Length())",7,32348,Success,"_arg_0.Substr(((1 + 1) + _arg_0.IndexOf(""="")),_arg_0.Length())",7,32348
exceljet4.sl,Success,"_arg_0.Substr(((_arg_0.IndexOf(""/"") + 1) + 1),_arg_0.Length())",10,23394,Success,"_arg_0.Substr(((_arg_0.IndexOf(""/"") + 1) + 1),_arg_0.Length())",10,23394
extract-word-containing-specific-text.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",59,1464962,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") - 4),(_arg_0.IndexOf(""."") + 4))",59,1464962
extract-word-that-begins-with-specific-character.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",69,1018542,Success,"_arg_0.Substr(_arg_0.IndexOf(""_""),concat(_arg_0, _arg_0).IndexOf("" "",_arg_0.IndexOf(""_"")))",65,1018542
firstname.sl,Success,"name.Substr(0,name.IndexOf("" ""))",1,790,Success,"name.Substr(0,name.IndexOf("" ""))",4,790
get-domain-from-email-address_2.sl,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1507,Success,"_arg_1.Substr(0,_arg_1.IndexOf(""_""))",1,1507
get-domain-name-from-url.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""/"",(3 * 3)) + (_arg_0.Length() % 2)))",51,253905,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""/"",(3 * 3)) + (_arg_0.Length() % 2)))",47,253905
get-first-name-from-name.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,810,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" ""))",1,810
get-first-word.sl,Success,"_arg_0.Substr(0,_arg_0.replace("" "", _arg_0).IndexOf(_arg_0))",38,230728,Success,"_arg_0.Substr(0,_arg_0.replace("" "", _arg_0).IndexOf(_arg_0))",39,230728
get-last-line-in-cell.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),((-1 + -1) - _arg_0.IndexOf(_arg_0.Substr(-1,_arg_0.Length())))),_arg_0.Length())",1056,19599379,Success,"_arg_0.Substr(_arg_0.IndexOf(1.IntToStr(),((-1 + -1) - _arg_0.IndexOf(_arg_0.Substr(-1,_arg_0.Length())))),_arg_0.Length())",845,19599379
get-last-name-from-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",2,4977,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",2,4977
get-last-name-from-name-with-comma.sl,Success,"(ifconcat(concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1), (if"","".SuffixOf(concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1).Substr(1,-1)) then concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1).Substr(1,-1).Substr(0,-1) else concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1))).Contain(_arg_0) then (if"","".SuffixOf(concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1).Substr(1,-1)) then concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1).Substr(0,-1).Substr(0,-1) else concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1)) else (if"","".SuffixOf(concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1).Substr(1,-1)) then concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1).Substr(1,-1).Substr(0,-1) else concat(concat(concat(_arg_0.replace("","", """"), "",""), _arg_0).Substr(1,-1).Substr(1,-1).Substr(1,-1).Substr(1,-1), "","").Substr(1,-1)))",29070,1316032682,Fail,None,3600,100000000
get-last-word.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",7,17845,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),_arg_0.Length())",6,17845
get-middle-name-from-full-name.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((1 - (-1 + -1)) * (-1 + -1)))",32,86678,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),((1 - (-1 + -1)) * (-1 + -1)))",28,86678
initials.sl,Success,"concat(concat(concat(name.CharAt(0), "".""), name.CharAt((name.IndexOf("" "") + 1))), ""."")",46,149944,Success,"concat(concat(concat(name.CharAt(0), "".""), name.CharAt((name.IndexOf("" "") + 1))), ""."")",43,149944
join-cells-with-comma.sl,Success,"concat(concat(concat(concat(concat(concat(_arg_0, "",""), "" "").replace(concat(concat(concat(_arg_0, "",""), "" ""), _arg_1), _arg_0), _arg_1), "",""), "" ""), _arg_2)",18,53334,Success,"concat(concat(concat(concat(concat(concat(_arg_0, "",""), "" "").replace(concat(concat(concat(_arg_0, "",""), "" ""), _arg_1), _arg_0), _arg_1), "",""), "" ""), _arg_2)",17,53334
join-first-and-last-name.sl,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,655,Success,"concat(concat(_arg_0, "" ""), _arg_1)",0,655
lastname.sl,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",3,3424,Success,"name.Substr((name.IndexOf("" "") + 1),name.Length())",3,3424
most-frequently-occurring-text.sl,Success,"(ifEqual(_arg_0,_arg_1) then _arg_0 else _arg_2)",2,17872,Success,"(ifEqual(_arg_0,_arg_1) then _arg_0 else _arg_2)",2,17872
name-combine-2.sl,Success,"concat(firstname, concat(concat("" "", lastname.CharAt(0)), "".""))",3,6096,Success,"concat(firstname, concat(concat("" "", lastname.CharAt(0)), "".""))",3,6096
name-combine-3.sl,Success,"concat(concat(concat(firstname.CharAt(0), "".""), "" ""), lastname)",3,5743,Success,"concat(concat(concat(firstname.CharAt(0), "".""), "" ""), lastname)",3,5743
name-combine-4.sl,Success,"concat(lastname, concat("","", concat("" "", concat(firstname.CharAt(0), "".""))))",5,10069,Success,"concat(lastname, concat("","", concat("" "", concat(firstname.CharAt(0), "".""))))",7,10069
name-combine.sl,Success,"concat(firstname, concat("" "", lastname))",1,492,Success,"concat(firstname, concat("" "", lastname))",0,492
phone-10.sl,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",95,1851824,Success,"name.replace("" "", concat("" "", ""("")).replace(""-"", concat("")"", "" ""))",94,1851824
phone-1.sl,Success,"name.Substr(4,(2 + 5))",1,3182,Success,"name.Substr(4,(2 + 5))",1,3182
phone-2.sl,Success,"name.Substr((3 + 5),name.Length())",2,9132,Success,"name.Substr((3 + 5),name.Length())",3,9132
phone-3.sl,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",4,21094,Success,"concat(""("", name.replace(""-"", concat("")"", "" "")))",4,21094
phone-4.sl,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",5,15005,Success,"name.replace(""-"", ""."").replace(""-"", ""."")",5,15005
phone-5.sl,Success,"name.Substr(1,name.IndexOf("" ""))",1,3984,Success,"name.Substr(1,name.IndexOf("" ""))",1,3984
phone-6.sl,Success,"name.Substr((name.IndexOf(""-"") - 3),name.IndexOf(""-""))",21,199996,Success,"name.Substr((name.IndexOf(""-"") - 3),name.IndexOf(""-""))",22,199996
phone-7.sl,Success,"name.Substr((name.IndexOf(""-"") + 1),(0 - 4))",24,234712,Success,"name.Substr((name.IndexOf(""-"") + 1),(0 - 4))",22,234712
phone-8.sl,Success,"name.Substr((0 - 3),name.Length())",2,18991,Success,"name.Substr((0 - 3),name.Length())",2,18991
phone-9.sl,Success,"name.Substr(1,name.Length()).replace(""-"", ""."").replace("" "", ""."").replace(""-"", ""."")",503,10184037,Success,"name.Substr(1,name.Length()).replace(""-"", ""."").replace("" "", ""."").replace(""-"", ""."")",468,10184037
phone.sl,Success,"name.Substr(0,3)",0,361,Success,"name.Substr(0,3)",0,361
remove-file-extension-from-filename.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,1078,Success,"_arg_0.Substr(0,_arg_0.IndexOf("".""))",1,1078
remove-leading-and-trailing-spaces-from-text.sl,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",30,127217,Success,"_arg_0.replace(concat("" "", "" ""), """").replace(concat("" "", "" ""), "" "")",28,127217
remove-text-by-matching.sl,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",4,5443,Success,"_arg_0.replace(""-"", """").replace(""-"", """")",4,5443
remove-text-by-position.sl,Success,"_arg_0.Substr(((1 - _arg_0.IndexOf(""/"",(1 - (-1 + -1)))) * (-1 + -1)),_arg_0.Length())",59,886086,Success,"_arg_0.Substr(((1 - _arg_0.IndexOf(""/"",(1 - (-1 + -1)))) * (-1 + -1)),_arg_0.Length())",59,886086
remove-unwanted-characters.sl,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.upper(), """")",102,1043174,Success,"_arg_0.replace(_arg_1.lower(), """").replace(_arg_1.upper(), """")",103,1043174
replace-one-character-with-another.sl,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,2672,Success,"_arg_0.replace("" "", ""-"").replace("" "", ""-"")",2,2672
reverse-name.sl,Success,"concat(lastname, concat("" "", firstname))",1,387,Success,"concat(lastname, concat("" "", firstname))",0,387
stackoverflow10.sl,Success,"(if_arg_0.Contain(_arg_0.Substr((_arg_0.IndexOf("" "") + 3),_arg_0.Length()).replace("" "", """").Substr(0,4)) then _arg_0.Substr((_arg_0.IndexOf("" "") + 3),_arg_0.Length()).replace("" "", """").Substr(0,4) else _arg_0).Substr((1 - 5),_arg_0.Length())",16917,369094252,Fail,None,3600,100000000
stackoverflow11.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") + ""2"".StrToInt()),_arg_0.Length())",25,601513,Success,"_arg_0.Substr((_arg_0.IndexOf(""_"") + ""2"".StrToInt()),_arg_0.Length())",26,601513
stackoverflow1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",3,5363,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""Inc"") + -1))",3,5363
stackoverflow2.sl,Success,"_arg_0.Substr(0,((-1 - ""in"".Length()) * ""in"".Length()))",6,9257,Success,"_arg_0.Substr(0,((-1 - ""in"".Length()) * ""in"".Length()))",6,9257
stackoverflow3.sl,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",11,126267,Success,"_arg_0.Substr(((""9"".StrToInt() * 2) + -1),_arg_0.Length())",12,126267
stackoverflow4.sl,Success,"_arg_0.replace("">"", """").replace(""<"", "" "").replace("","", "" "").replace("","", "" "")",58,677502,Success,"_arg_0.replace("">"", """").replace(""<"", "" "").replace("","", "" "").replace("","", "" "")",60,677502
stackoverflow5.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",3,6503,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""1"") + -1))",3,6503
stackoverflow6.sl,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",22,293359,Success,"_arg_0.Substr((-1 - (_arg_0.Length() % (_arg_0.IndexOf(""="") + -1))),_arg_0.Length())",23,293359
stackoverflow7.sl,Success,"_arg_0.replace(concat((if_arg_1.SuffixOf(_arg_0) then "" "" else """"), _arg_1), """")",343,6660243,Success,"_arg_0.replace(concat((if_arg_1.SuffixOf(_arg_0) then "" "" else """"), _arg_1), """")",327,6660243
stackoverflow8.sl,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",6,44383,Success,"_arg_0.Substr((-1 - (3 * 3)),_arg_0.Length())",6,44383
stackoverflow9.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",15,94651,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",(_arg_0.IndexOf("" "") + 1)) + 1),_arg_0.Length())",16,94651
strip-html-from-text-or-numbers.sl,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",4,8618,Success,"_arg_0.Substr(_arg_0.IndexOf(0.IntToStr()),_arg_0.IndexOf(""<"",1))",4,8618
strip-non-numeric-characters.sl,Success,"concat(_arg_0.Substr((1 - 7),_arg_0.IndexOf((_arg_0.Length() * (_arg_0.Length() - (5 % (_arg_0.Length() % 9)))).IntToStr())), (_arg_0.Length() * (_arg_0.Length() - (5 % (_arg_0.Length() % 9)))).IntToStr())",8908,709003546,Fail,None,3600,100000000
strip-numeric-characters-from-cell.sl,Success,"concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).replace(concat("" "", _arg_0), concat(concat(concat("" "", _arg_0), "" "").Substr(concat(_arg_0.CharAt(8), _arg_0).IndexOf("" ""),-1).Substr(0,9), "" ""))",8003,481360693,Fail,None,3600,100000000
univ_1.sl,Success,"concat(concat(concat(col1, "",""), "" ""), col2)",2,1933,Success,"concat(concat(concat(col1, "",""), "" ""), col2)",2,1933
univ_2.sl,Success,"concat(col1, concat("","", concat("" "", concat(col2.replace(concat("","", concat("" "", ""USA"")), col1.Substr(1,0)), concat("","", concat("" "", ""USA""))))))",296,2881761,Success,"concat(col1, concat("","", concat("" "", concat(col2.replace(concat("","", concat("" "", ""USA"")), col1.Substr(1,0)), concat("","", concat("" "", ""USA""))))))",286,2881761
univ_3.sl,Success,"(ifcol2.Contain(""USA"") then col2 else concat(col2, concat("","", concat("" "", ""USA""))))",109,1321890,Success,"(ifcol2.Contain(""USA"") then col2 else concat(col2, concat("","", concat("" "", ""USA""))))",107,1321890
univ_4.sl,Success,"concat(col2.replace(concat("" "", (ifcol2.Contain(""NY"") then ""NY"" else ""New York"")), ""NY"").replace(concat(concat("","", "" ""), ""USA""), "",""), concat("" "", ""USA"")).replace(""CA"", concat(""CA"", "","")).replace(""NY"", concat("" "", ""NY"")).replace(concat(col2.replace(concat("" "", (ifcol2.Contain(""NY"") then ""NY"" else ""New York"")), ""NY"").replace(concat(concat("","", "" ""), ""USA""), "",""), concat("" "", ""USA"")), concat(col2.replace(concat("" "", (ifcol2.Contain(""NY"") then ""NY"" else ""New York"")), ""NY"").replace(concat(concat("","", "" ""), ""USA""), "",""), concat("" "", ""USA"")).replace(""MD"", concat(""MD"", "","")).replace(""NY"", concat("" "", ""NY"")))",29429,1486775356,Fail,None,3600,100000000
univ_5.sl,Fail,None,3600,100000000,Fail,None,3600,100000000
