1-benchmark,1-ags_bee_search_result,1-ags_bee_search_program,1-ags_bee_search_time,1-ags_bee_search_evaluations,1-bee_search_result,1-bee_search_program,1-bee_search_time,1-bee_search_evaluations,2-benchmark,2-ags_bee_search_result,2-ags_bee_search_program,2-ags_bee_search_time,2-ags_bee_search_evaluations,2-bee_search_result,2-bee_search_program,2-bee_search_time,2-bee_search_evaluations,3-benchmark,3-ags_bee_search_result,3-ags_bee_search_program,3-ags_bee_search_time,3-ags_bee_search_evaluations,3-bee_search_result,3-bee_search_program,3-bee_search_time,3-bee_search_evaluations,4-benchmark,4-ags_bee_search_result,4-ags_bee_search_program,4-ags_bee_search_time,4-ags_bee_search_evaluations,4-bee_search_result,4-bee_search_program,4-bee_search_time,4-bee_search_evaluations,5-benchmark,5-ags_bee_search_result,5-ags_bee_search_program,5-ags_bee_search_time,5-ags_bee_search_evaluations,5-bee_search_result,5-bee_search_program,5-bee_search_time,5-bee_search_evaluations
35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",2.0,2623.0,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",2.0,2623.0,35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1.0,2439.0,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1.0,2439.0,35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",3.0,7541.0,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",3.0,7541.0,35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1.0,2285.0,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1.0,2285.0,35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1.0,2437.0,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1.0,2437.0
35744094.sl,Success,"(if_arg_0.Contain(""microsoft"") then (if_arg_0.Contain(""windows"") then ""windows"" else ""microsoft"") else ""mac"")",82.0,1191888.0,Success,"(if_arg_0.Contain(""microsoft"") then (if_arg_0.Contain(""windows"") then ""windows"" else ""microsoft"") else ""mac"")",77.0,1191888.0,35744094.sl,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",70.0,1719193.0,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",69.0,1719193.0,35744094.sl,Success,"(if_arg_0.Contain(""microsoft"") then (if_arg_0.Contain(""windows"") then ""windows"" else ""microsoft"") else ""mac"")",62.0,1243432.0,Success,"(if_arg_0.Contain(""microsoft"") then (if_arg_0.Contain(""windows"") then ""windows"" else ""microsoft"") else ""mac"")",60.0,1243432.0,35744094.sl,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",96.0,2605301.0,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",95.0,2605301.0,35744094.sl,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",26.0,148910.0,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",24.0,148910.0
36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",35.0,117362.0,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",31.0,117362.0,36462127.sl,Success,"_arg_0.Substr(((-1 + -1) - _arg_0.IndexOf(""/"")),_arg_0.Length()).replace(""/"", """")",15.0,140851.0,Success,"_arg_0.Substr(((-1 + -1) - _arg_0.IndexOf(""/"")),_arg_0.Length()).replace(""/"", """")",17.0,140851.0,36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",17.0,119260.0,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",17.0,119260.0,36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",27.0,126502.0,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",26.0,126502.0,36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",26.0,116212.0,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",24.0,116212.0
37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),3.0,2661.0,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1.0,2661.0,37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1.0,1532.0,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1.0,1532.0,37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1.0,1774.0,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),3.0,1774.0,37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),2.0,1968.0,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1.0,1968.0,37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),2.0,4835.0,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),2.0,4835.0
38664547.sl,Success,"_arg_0.replace(""that"".lower().replace(_arg_0.lower(), """"), """")",19.0,50030.0,Success,"_arg_0.replace(""that"".lower().replace(_arg_0.lower(), """"), """")",19.0,50030.0,38664547.sl,Success,"(ifEqual(""that"",_arg_0) then ""that"" else _arg_0.replace(""that"", """"))",13.0,30169.0,Success,"(ifEqual(""that"",_arg_0) then ""that"" else _arg_0.replace(""that"", """"))",15.0,30169.0,38664547.sl,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",15.0,33759.0,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",14.0,33759.0,38664547.sl,Success,"_arg_0.replace(""that"".lower().replace(_arg_0.lower(), """"), """")",12.0,24408.0,Success,"_arg_0.replace(""that"".lower().replace(_arg_0.lower(), """"), """")",11.0,24408.0,38664547.sl,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",13.0,30446.0,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",12.0,30446.0
38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",279.0,6951731.0,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",278.0,6951731.0,38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",183.0,3500375.0,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",180.0,3500375.0,38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",324.0,8333011.0,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",315.0,8333011.0,38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",472.0,14495504.0,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",467.0,14495504.0,38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",357.0,7995645.0,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",347.0,7995645.0
39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace("" "", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace(""/"", """"), _arg_0.Substr(0,_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace("" "", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace(""/"", """").Length()).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace("" "", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace(""/"", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace("" "", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace(""/"", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace("" "", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace(""/"", """").Substr(0,1), _arg_0.Substr(0,_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace("" "", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace(""/"", """").Length()).Substr(0,1)))",23574.0,1055090655.0,Fail,,inf,inf,39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr(0,_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Length()).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Substr(0,1), _arg_0.Substr(0,_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Length()).Substr(0,1)))",24056.0,1110791111.0,Fail,,inf,inf,39060015.sl,Success,"concat(concat(_arg_0.Substr(0,_arg_0.IndexOf(""/"")), _arg_0.Substr((-1 - _arg_0.Substr(1,_arg_0.IndexOf(""/"")).Substr(1,-1).Length()),-1)), concat(_arg_0.Substr(0,_arg_0.IndexOf(""/"")), _arg_0.Substr((-1 - _arg_0.Substr(1,_arg_0.IndexOf(""/"")).Substr(1,-1).Length()),-1)).Substr(0,1).lower())",10278.0,444971604.0,Success,"(if""/"".SuffixOf(_arg_0) then """" else _arg_0.replace(_arg_0.Substr(_arg_0.IndexOf(""/""),(1 % (1 - _arg_0.IndexOf(""/"")))), """"))",12860.0,288435663.0,39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Substr(0,1), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)))",25697.0,1121615339.0,Fail,,inf,inf,39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Substr(0,1), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)))",24802.0,1109894633.0,Fail,,inf,inf
41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",12.0,17887.0,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",13.0,17887.0,41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",14.0,27746.0,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",14.0,27746.0,41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",12.0,20083.0,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",13.0,20083.0,41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",20.0,48102.0,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",19.0,48102.0,41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",19.0,46624.0,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",19.0,46624.0
43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",871.0,23919866.0,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",837.0,23919866.0,43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",937.0,26501896.0,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",896.0,26501896.0,43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",2627.0,81714015.0,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",2635.0,81714015.0,43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",4948.0,148936795.0,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",4874.0,148936795.0,43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",4027.0,120868334.0,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",3948.0,120868334.0
43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2.0,3311.0,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2.0,3311.0,43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3.0,5290.0,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3.0,5290.0,43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2.0,4202.0,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2.0,4202.0,43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2.0,3262.0,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2.0,3262.0,43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3.0,5340.0,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",3.0,5340.0
add-a-line-break-with-a-formula.sl,Success,"concat(_arg_0, concat(""/n"", concat(_arg_1, concat(""/n"", _arg_2))))",5.0,5319.0,Success,"concat(_arg_0, concat(""/n"", concat(_arg_1, concat(""/n"", _arg_2))))",2.0,5319.0,add-a-line-break-with-a-formula.sl,Success,"concat(concat(_arg_0, concat(concat(""/n"", _arg_1), ""/n"")), _arg_2)",2.0,7228.0,Success,"concat(concat(_arg_0, concat(concat(""/n"", _arg_1), ""/n"")), _arg_2)",4.0,7228.0,add-a-line-break-with-a-formula.sl,Success,"concat(_arg_0, concat(""/n"", concat(_arg_1, concat(""/n"", _arg_2))))",3.0,5656.0,Success,"concat(_arg_0, concat(""/n"", concat(_arg_1, concat(""/n"", _arg_2))))",3.0,5656.0,add-a-line-break-with-a-formula.sl,Success,"concat(concat(concat(_arg_0, concat(""/n"", _arg_1)), ""/n""), _arg_2)",3.0,7403.0,Success,"concat(concat(concat(_arg_0, concat(""/n"", _arg_1)), ""/n""), _arg_2)",3.0,7403.0,add-a-line-break-with-a-formula.sl,Success,"concat(concat(concat(concat(_arg_0, ""/n""), _arg_1), ""/n""), _arg_2)",2.0,5233.0,Success,"concat(concat(concat(concat(_arg_0, ""/n""), _arg_1), ""/n""), _arg_2)",2.0,5233.0
bikes.sl,Success,"name.Substr(0,(0 - 3))",3.0,3385.0,Success,"name.Substr(0,(0 - 3))",1.0,3385.0,bikes.sl,Success,"name.Substr(0,(0 - 3))",1.0,4503.0,Success,"name.Substr(0,(0 - 3))",1.0,4503.0,bikes.sl,Success,"name.Substr(0,(0 - 3))",2.0,3423.0,Success,"name.Substr(0,(0 - 3))",2.0,3423.0,bikes.sl,Success,"name.Substr(0,(0 - 3))",1.0,3625.0,Success,"name.Substr(0,(0 - 3))",1.0,3625.0,bikes.sl,Success,"name.Substr(0,(0 - 3))",1.0,3170.0,Success,"name.Substr(0,(0 - 3))",1.0,3170.0
change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",1.0,415.0,Success,"_arg_0.replace(""-"", """")",0.0,415.0,change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",0.0,303.0,Success,"_arg_0.replace(""-"", """")",0.0,303.0,change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",1.0,354.0,Success,"_arg_0.replace(""-"", """")",0.0,354.0,change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",0.0,301.0,Success,"_arg_0.replace(""-"", """")",0.0,301.0,change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",0.0,293.0,Success,"_arg_0.replace(""-"", """")",0.0,293.0
clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("">"", """").replace("" "", """").replace(""-"", """")",6285.0,359020030.0,Fail,,inf,inf,clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace("" "", """").replace(""-"", """").replace(""-"", """").replace("">"", """").replace(""<"", """")",6388.0,354743496.0,Fail,,inf,inf,clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("" "", """").replace("">"", """").replace(""-"", """")",6570.0,375353223.0,Fail,,inf,inf,clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("" "", """").replace("">"", """").replace(""-"", """")",6311.0,349947887.0,Fail,,inf,inf,clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("" "", """").replace("">"", """").replace(""-"", """")",6137.0,340974615.0,Fail,,inf,inf
create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",2.0,2953.0,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",2.0,2953.0,create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,2775.0,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",2.0,2775.0,create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,2767.0,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,2767.0,create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,3019.0,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,3019.0,create-email-address-from-name.sl,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,2799.0,Success,"concat(concat(_arg_1.CharAt(0), _arg_0), ""_acme.com"")",1.0,2799.0
create-email-address-with-name-and-domain.sl,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",3.0,7800.0,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",2.0,7800.0,create-email-address-with-name-and-domain.sl,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",3.0,8704.0,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",3.0,8704.0,create-email-address-with-name-and-domain.sl,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",3.0,7969.0,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",3.0,7969.0,create-email-address-with-name-and-domain.sl,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",2.0,9587.0,Success,"concat(concat(concat(_arg_0.CharAt(0), _arg_1), ""_""), _arg_2)",2.0,9587.0,create-email-address-with-name-and-domain.sl,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",4.0,10072.0,Success,"concat(concat(_arg_0.CharAt(0), concat(_arg_1, ""_"")), _arg_2)",5.0,10072.0
dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",84.0,958226.0,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",83.0,958226.0,dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",34.0,194482.0,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",38.0,194482.0,dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",85.0,1124343.0,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",86.0,1124343.0,dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",202.0,3619441.0,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",199.0,3619441.0,dr-name.sl,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",82.0,1020949.0,Success,"concat(concat(""Dr."", "" ""), name.Substr(0,name.IndexOf("" "")))",78.0,1020949.0
exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",6.0,20705.0,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",5.0,20705.0,exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",10.0,19011.0,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",7.0,19011.0,exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",3.0,15746.0,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",3.0,15746.0,exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",6.0,16252.0,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",5.0,16252.0,exceljet1.sl,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",5.0,16098.0,Success,"_arg_1.Substr((_arg_1.IndexOf(""_"") + 1),_arg_1.Length())",7.0,16098.0
exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",10.0,29437.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",10.0,29437.0,exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",8.0,45598.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",9.0,45598.0,exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",6.0,40100.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",5.0,40100.0,exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",10.0,42021.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",11.0,42021.0,exceljet2.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",6.0,37013.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") * -1),_arg_0.Length()).replace(""."", """")",6.0,37013.0
